rank: 0; group_size: 1
257290 100335 6.39557e+10 1.34768e+11 
259852 101955 6.31028e+10 1.35168e+11 
262422 103592 6.22474e+10 1.35563e+11 
265000 105245 6.13895e+10 1.35953e+11 
267585 106914 6.05292e+10 1.36336e+11 
270177 108599 5.96665e+10 1.36715e+11 
272776 110301 5.88014e+10 1.37088e+11 
275382 112019 5.7934e+10 1.37456e+11 
277995 113753 5.70643e+10 1.37818e+11 
280615 115504 5.61922e+10 1.38175e+11 
283242 117271 5.5318e+10 1.38526e+11 
285875 119055 5.44416e+10 1.38872e+11 
288515 120856 5.3563e+10 1.39212e+11 
291161 122673 5.26822e+10 1.39546e+11 
293814 124507 5.17994e+10 1.39875e+11 
296472 126357 5.09145e+10 1.40199e+11 
299137 128225 5.00276e+10 1.40517e+11 
301808 130109 4.91387e+10 1.40829e+11 
304485 132010 4.82478e+10 1.41136e+11 
307167 133928 4.7355e+10 1.41437e+11 
309855 135863 4.64603e+10 1.41733e+11 
312549 137814 4.55638e+10 1.42023e+11 
315248 139783 4.46655e+10 1.42307e+11 
317952 141769 4.37654e+10 1.42585e+11 
320662 143771 4.28635e+10 1.42858e+11 
323376 145791 4.196e+10 1.43125e+11 
326096 147828 4.10548e+10 1.43387e+11 
328821 149882 4.01479e+10 1.43643e+11 
331550 151953 3.92395e+10 1.43893e+11 
334284 154042 3.83294e+10 1.44137e+11 
337023 156148 3.74179e+10 1.44376e+11 
339766 158271 3.65049e+10 1.44609e+11 
342514 160411 3.55904e+10 1.44836e+11 
345266 162568 3.46745e+10 1.45057e+11 
348022 164743 3.37572e+10 1.45273e+11 
350782 166935 3.28386e+10 1.45483e+11 
353546 169145 3.19187e+10 1.45687e+11 
356314 171372 3.09975e+10 1.45885e+11 
359085 173617 3.0075e+10 1.46077e+11 
361860 175879 2.91514e+10 1.46264e+11 
364639 178158 2.82266e+10 1.46445e+11 
367421 180455 2.73007e+10 1.4662e+11 
370206 182770 2.63737e+10 1.46789e+11 
372994 185102 2.54457e+10 1.46952e+11 
375785 187451 2.45166e+10 1.47109e+11 
378580 189819 2.35866e+10 1.47261e+11 
381377 192203 2.26556e+10 1.47407e+11 
384177 194606 2.17237e+10 1.47546e+11 
386979 197026 2.0791e+10 1.4768e+11 
389784 199464 1.98574e+10 1.47809e+11 
392591 201919 1.8923e+10 1.47931e+11 
395401 204392 1.79879e+10 1.48047e+11 
398213 206883 1.70521e+10 1.48158e+11 
401027 209392 1.61156e+10 1.48262e+11 
403842 211918 1.51784e+10 1.48361e+11 
406660 214462 1.42407e+10 1.48453e+11 
409479 217024 1.33024e+10 1.4854e+11 
412300 219603 1.23635e+10 1.48621e+11 
415122 222200 1.14242e+10 1.48696e+11 
417946 224816 1.04844e+10 1.48765e+11 
420771 227448 9.54417e+09 1.48828e+11 
